,original_triple,Verbalisation,SubjectCQ,PropertyCQ,ObjectCQ,Theme
1004,KK Gostivar is located in the administrative territorial entity of Gostivar.,A sport club is located in the administrative territorial entity of a city.,What is located in the administrative entity of a city?,What is the relation between a sport club and a city?,Where is a team located?,Sports
1005,KK Gostivar is located in the administrative territorial entity of Gostivar., The basketball club from Republic of Macedonia  is located in a city in North Macedonia,What is located in a city in North Macedonia,What is relation between The basketball club from Republic of Macedonia  and a city in North Macedonia,Where is The basketball club from Republic of Macedonia  located,Sports
1006,Caja Rural-Seguros RGA play in the 2010 season.,A team play in a sport season.,What plays in a sport season?,What is the relation between a team and a sport season?,Where does a team play in?,Sports
1007,Caja Rural-Seguros RGA play in the 2010 season., The road cycling team play in the 2010 season,When does the road cycling team play?,The road cycling team and the 2010 season,Who played in the 2010 season,Sports
1008,Ingrid Drexel is the point classification for the Astana Women's Team 2016.,A person is the point classification for a team.,What is the point classification for a team?,What is the relation between a person and a team?,What is a person the point classification for?,Sports
1009,Ingrid Drexel is the point classification for the Astana Women's Team 2016.,The Mexican racing cyclist is the point classification for the cyclist team,For which team is The Mexican racing cyclist the point classification,What is relation between The Mexican racing cyclist and the cyclist team,Who is the point classification for the cyclist team,Sports
1010,Eva Olsson is the flag bearer of Sweden at the 1980 Winter Olympics.,A person is the flag bearer of a delegation.,Who is the flag bearer of a delegation?,What is the relation between a person and a delegation?,What is a person a flag bearer for?,Sports
1011,Eva Olsson is the flag bearer of Sweden at the 1980 Winter Olympics.,The Swedish cross-country skier is the flag bearer of sporting event delegation,Where is The Swedish cross-country skier the flag bearer?,What is relation between The Swedish cross-country skier and the sporting event delegation,Who  is the flag bearer of sporting event delegation,Sports
1012,Denver Nuggets has 1081923 followers on social media.,A team has a number of followers on social media.,Who has a number of followers on social media?,What is the relation between a team and a number of followers on social media?,How many followers on social media does a team have?,Sports
1013,Denver Nuggets has 1081923 followers on social media., The American professional basketball team has 1081923 followers on social media,Who  has 1081923 followers on social media,What is relation between The American professional basketball team and 1081923 followers on social media,How many followers does The American professional basketball team have,Sports
1014,The national under-20 football team is from Namibia.,A team is from a country.,What is from a country?,What is the relation between a team and a country?,Where is a team from?,Sports
1015,The national under-20 football team is from Namibia.,The national association football team is from sovereign state in southern Africa,Who  is from sovereign state in southern Africa,What is relation between The national association football team and the sovereign state in southern Africa,Where is The national association football team  from,Sports
1016,Tyresö FF's home venue is Tyresövallen.,A sport club's home venue is a city.,What is a city?,What is the relation between a sport club and a city?,What is a sport club's home venue?,Sports
1017,Tyresö FF's home venue is Tyresövallen.,"The soccer club in Tyresö, Sweden is a sportsground in Tyresö municipality, Sweden","Who  is a sportsground in Tyresö municipality, Sweden","What is relation between The soccer club in Tyresö, Sweden and a sportsground in Tyresö municipality, Sweden","What is The soccer club in Tyresö, Sweden ",Sports
1018,Bernardo Ruiz is the head coach of Faema.,A person is the head coach of a team.,Who is the head coach of a team?,What is the relation between a person and a team?,What is a person?,Sports
1019,Bernardo Ruiz is the head coach of Faema.,The Spanish road bicycle racer is the head coach of cycling team  ,Which team does The Spanish road bicycle racer  coach?,What is relation between The Spanish road bicycle racer and the cycling team  ,Who  is the head coach of cycling team  ,Sports
1020,2016 Heizomat was followed by 2017 Heizomat.,-,-,-,-,Sports
1021,2016 Heizomat was followed by 2017 Heizomat., 2016 Team was followed by 2017 Team,What was followed by 2017 Team,What is relation between 2016 Team and 2017 Team,Who followed the 2016 team?,Sports
1022,Vorarlberg 2016 follows Vorarlberg 2015.,-,-,-,-,Sports
1023,Vorarlberg 2016 follows Vorarlberg 2015.,Team 2016 follows Team 2015,Who follows Team 2015,What is relation between Team 2016 and Team 2015    ,Which team followed the team 2016,Sports
1024,Victoria cricket team play in the Sheffield Shield league.,A team plays in a competition.,Who plays in a competition?,What is the relation between a team and a competition?,Where does a team play?,Sports
1025,Victoria cricket team play in the Sheffield Shield league.,"The Australian first class cricket team based in Melbourne, Victoria  play in the domestic first-class cricket competition in Australia",Who play in the domestic first-class cricket competition in Australia,"What is relation between The Australian first class cricket team based in Melbourne, Victoria  and the domestic first-class cricket competition in Australia     ","Where does The Australian first class cricket team based in Melbourne, Victoria  play",Sports
1026,"Polartec-Kometa 2018 won the 2018 Vuelta a Burgos, stage 2.",A team wins a stage.,Who wins a stage?,What is the relation between a team and a stage?,What does a team win?,Sports
1027,"Polartec-Kometa 2018 won the 2018 Vuelta a Burgos, stage 2.",The Team 2018 won the stage of the Vuelta a Burgos,Who  won the stage of the Vuelta a Burgos,What is relation between The Team 2018 and the stage of the Vuelta a Burgos     ,What did the team 2018 win?,Sports
1028,The headquarters of Kanebo Volleyball Club is located in Suzuka.,The headquarters of a sport club is located in a city.,What is located in a city?,What is the relation between a sport team and a city?,Where is the headquarters of a team located in?,Sports
1029,The headquarters of Kanebo Volleyball Club is located in Suzuka.,"The headquarters of Japanese volleyball club is located in city in Mie prefecture, Japan","What  is located in city in Mie prefecture, Japan","What is relation between The headquarters of Japanese volleyball club and the city in Mie prefecture, Japan    ",Where are The headquarters of Japanese volleyball club located,Sports
1030,The Belgian men's national road cycling team 1983 started on 01/01/1983.,A team started on a time.,What started on a time?,What is the relation between a team and a time?,When did a team start?,Sports
1031,The Belgian men's national road cycling team 1983 started on 01/01/1983.,The cycling team started on 1983,What started on 1983,What is relation between The cycling team and 1983  ,When started the cycling team,Sports
1032,The Danish women's national road cycling team 2018 ended on 31/12/2018.,A team ended on a time.,What ended on a time?,What is the relation between a team and a time?,When did a team end?,Sports
1033,The Danish women's national road cycling team 2018 ended on 31/12/2018.,The road cycling team ended on 2018,What ended on 2018,What is relation between The road cycling team and 2018  ,When did the road cycling team end?,Sports
1034,The Pakistan national football team competes in the men's association football.,A team competes in an association.,Who competes in an association?,What is the relation between a team and an association?,Where does a team compete?,Sports
1035,The Pakistan national football team competes in the men's association football.,The football team competes in the association football when played by men  ,Who competes in the association football when played by men  ,What is relation between The football team and the association football when played by men  ,Where does The football team compete,Sports
1036,The UCI code for LA Alumínios-Metalusa-BlackJack is PRM.,The UCI code for a team is a code.,What is a code?,What is the relation between a team and a code?,What is the UCI code for a team?,Sports
1037,The UCI code for LA Alumínios-Metalusa-BlackJack is PRM.,The UCI code for cycling team is PRM,Whose code is PRM,What is relation between  The UCI code for cycling team and PRM,What UCI code has the cycling team,Sports
1038,The Western Illinois Leathernecks women's basketball is part of Western Illinois University.,A team is part of a university.,What is part of a university?,What is the relation between a team and a university?,What is a team part of?,Sports
1039,The Western Illinois Leathernecks women's basketball is part of Western Illinois University.,The college level women's basketball team is part of university,Which team  is part of university,What is relation between  The college level women's basketball team and the university,Where is The college level women's basketball team  part of,Sports
1040,New Zealand at the 2018 Winter Paralympics is at a point in time in 2018.,A delegation is at a point in time.,What is at a point in time?,What is the relation between a delegation and a time?,When is a delegation at a point in time?,Sports
1041,New Zealand at the 2018 Winter Paralympics is at a point in time in 2018., The sporting event delegation  is at a point in time in 2018,What is at a point in time in 2018,What is relation between  The sporting event delegation  and a point in time in 2018,In what point in time is The sporting event delegation  ,Sports
1042,The official name of Veranclassic-Ago is Veranclassic-Doltcini.,The official name of a team is a name.,What is a name?,What is the relation between a delegation and a name?,What is the official name of a delegation?,Sports
1043,The official name of Veranclassic-Ago is Veranclassic-Doltcini.,The official name of cycling team is Veranclassic-Doltcini,Whose official name is Veranclassic-Doltcini,What is relation between  The official name of cycling team and Veranclassic-Doltcini,What is the official name of cycling team,Sports
1044,Lebanon was a participant in the 1952 Summer Olympics.,A delegation is a participant in a competition.,Who is a participant in a competition?,What is the relation between a delegation and a competition?,Where is a delegation a participant in?,Sports
1045,Lebanon was a participant in the 1952 Summer Olympics.," The sporting event delegation was a participant in Games of the XV Olympiad, held in Helsinki in 1952","Who was a participant in Games of the XV Olympiad, held in Helsinki in 1952","What is relation between  The sporting event delegation and the Games of the XV Olympiad, held in Helsinki in 1952",Where was he sporting event delegation a participant,Sports
1046,Frauen Eisbären Juniors Berlin was founded in 2017.,A team is founded in a time.,What is founded in a time?,What is the relation between a team and a time?,When is a team founded?,Sports
1047,Frauen Eisbären Juniors Berlin was founded in 2017., The German women's ice hockey team was founded in 2017,What  was founded in 2017,What is relation between  The German women's ice hockey team and 2017,When was The German women's ice hockey team founded,Sports
1048,Daniele Bennati is a part of Saxo-Tinkoff 2013.,A person is part of a season.,Who is part of a season?,What is the relation between a person and a season?,What is a person a part of?,Sports
1049,Daniele Bennati is a part of Saxo-Tinkoff 2013.,The Italian road bicycle racer is a part of 2013 Team Saxo-Tinkoff season,Where is The Italian road bicycle racer a part of,What is relation between  The Italian road bicycle racer and the 2013 Team Saxo-Tinkoff season,Who is a part of 2013 Team Saxo-Tinkoff season,Sports
1050,Saratoga Harlem Yankees are from the United States of America.,A team is from a state.,Who is from a state?,What is the relation between a team and a state?,Where is a team from?,Sports
1051,Saratoga Harlem Yankees are from the United States of America.,The cricket team are from sovereign state in North America,Who  are from sovereign state in North America,What is relation between  The cricket team and the sovereign state in North America,Where are the cricket team from?,Sports
1052,The Nepal national football team has a ranking of 169.,A team has a ranking.,What has a ranking?,What is the relation between a team and a ranking?,What is the ranking of a team?,Sports
1053,The Nepal national football team has a ranking of 169.,The national football team of Nepal has a ranking of 169,Who  has a ranking of 169,What is relation between  The national football team of Nepal and a ranking of 169,What ranking does the national football team of Nepali have?,Sports
1054,Niort Rugby Club plays rugby union.,A sport club plays a sport.,Who plays a sport?,What is the relation between a sport club and a sport?,What does a sport club play?,Sports
1055,Niort Rugby Club plays rugby union.,"The French rugby union team plays  15-a-side team sport, code of rugby football","Who  plays  15-a-side team sport, code of rugby football","What is relation between  The French rugby union team and 15-a-side team sport, code of rugby football",What does the french regby union team play?,Sports
1056,Theatrum pictorium is the source of the book Christ and the Adulteress.,A catalog is the source of a painting.,What painting has source a catalogue?,What is the relation between a painting and a catalog?,What catalog does a painting have as source?,Painting
1057,Theatrum pictorium is the source of the book Christ and the Adulteress.,A catalog is the source of a painting.,What painting has source a catalogue?,What is the relation between a painting and a catalog?,What catalog does a painting have as source?,Painting
1058,Vilh. Arnesen 89 is the inscription of Vessels at sea.,-,-,-,-,Painting
1059,Vilh. Arnesen 89 is the inscription of Vessels at sea.,-,-,-,-,Painting
1060,Nature morte is a significant event in purchasing.,A painting is a significant event in purchasing.,What painting is a significant event in purchasing?,What is the relation between a painting and a purchase?,What purchase is a painting a significant event in?,Painting
1061,Nature morte is a significant event in purchasing.,A painting is a significant event in purchasing.,What painting is a significant event in purchasing?,What is the relation between a painting and a purchase?,What purchase is a painting a significant event in?,Painting
1062,The thickness of The Card Players is 0.5 centimetres.,The thickness of a painting is x centimeters.,What painting has a thickness of x centimeters?,What is the relation between a painting and thickness?,What is the thickness of a painting?,Painting
1063,The thickness of The Card Players is 0.5 centimetres.,The thickness of a painting is x centimeters.,What painting has a thickness of x centimeters?,What is the relation between a painting and thickness?,What is the thickness of a painting?,Painting
1064,Saint Nicholas Resuscitating Three Youths is part of Scenes from the life of Saint Nicholas.,A painting is part of a painting.,What painting is part of painting?,What is the relation between two paintings?,What painting is a painting part of?,Painting
1065,Saint Nicholas Resuscitating Three Youths is part of Scenes from the life of Saint Nicholas.,A painting is part of a painting.,What painting is part of painting?,What is the relation between two paintings?,What painting is a painting part of?,Painting
1066,The Daughters of Catulle Men is an exhibition history of Wildenstein & Company Building.,A painting is an exhibition history of a building.,What painting is an exhibition history of a building?,What is the relation between a painting and a building?,What building is a painting an exhibition history of?,Painting
1067,The Daughters of Catulle Men is an exhibition history of Wildenstein & Company Building.,A painting is an exhibition history of a building.,What painting is an exhibition history of a building?,What is the relation between a painting and a building?,What building is a painting an exhibition history of?,Painting
1068,Risen Christ is a movement in Baroque painting.,A painting is a movement in a type of movement.,What painting is a movement in a type of movement?,What is the relation between a painting and a type of movement?,What movement is a painting?,Painting
1069,Risen Christ is a movement in Baroque painting.,A painting is a movement in a type of movement.,What painting is a movement in a type of movement?,What is the relation between a painting and a type of movement?,What movement is a painting?,Painting
1070,11H(PAUL)83 is the Iconclass notation for Saint Paul who frees a slave.,-,-,-,-,Painting
1071,11H(PAUL)83 is the Iconclass notation for Saint Paul who frees a slave.,-,-,-,-,Painting
1072,The Mystical Marriage of St. Catherine with Saint Sébastian is a heritage designation as a historical monument.,a historical monument.,What painting is a heritage designation as a monument?,What is the relation between a painting and a monument?,What monument is a painting heritage designation as?,Painting
1073,The Mystical Marriage of St. Catherine with Saint Sébastian is a heritage designation as a historical monument.,a historical monument.,What painting is a heritage designation as a monument?,What is the relation between a painting and a monument?,What monument is a painting heritage designation as?,Painting
1074,La sieste is located in the administrative territorial entity of Saint-Paul-de-Varax.,A painting is located in a commune.,What painting is located in a commune?,What is the relation between a painting and a commune?,What commune is a painting located in?,Painting
1075,La sieste is located in the administrative territorial entity of Saint-Paul-de-Varax.,A painting is located in a commune.,What painting is located in a commune?,What is the relation between a painting and a commune?,What commune is a painting located in?,Painting
1076,The religion of La Mise au tombeau is Christianity.,The religion of a painting is a religion.,What painting's religion is a religion?,What is the relation between a painting and a religion?,What religion is a painting?,Painting
1077,The religion of La Mise au tombeau is Christianity.,The religion of a painting is a religion.,What painting's religion is a religion?,What is the relation between a painting and a religion?,What religion is a painting?,Painting
1078,Wounded Buffalo Bull is from the United States of America.,A painting is from a state.,What painting is from a state?,What is the relation between a painting and a state?,What state is a painting from?,Painting
1079,Wounded Buffalo Bull is from the United States of America.,A painting is from a state.,What painting is from a state?,What is the relation between a painting and a state?,What state is a painting from?,Painting
1080,Outskirts of Paris (private collection) was created in Paris.,A painting was created in a city.,What painting was created in a city?,What is the relation between a painting and a city?,What city was a painting created in?,Painting
1081,Outskirts of Paris (private collection) was created in Paris.,A painting was created in a city.,What painting was created in a city?,What is the relation between a painting and a city?,What city was a painting created in?,Painting
1082,Joseph Beuys is from the United States of America.,A series of paintings are from a state.,What series of paintings are from a state?,What is the relation between a series of paintings and a state?,What state are a series of paintings from?,Painting
1083,Joseph Beuys is from the United States of America.,A series of paintings are from a state.,What series of paintings are from a state?,What is the relation between a series of paintings and a state?,What state are a series of paintings from?,Painting
1084,Cecilia Gallerani is the main subject of Lady with an Ermine.,A person is the main subject of a painting.,What painting's main subject is a person?,What is the relation between a painting and a person?,What person is a painting's main subject?,Painting
1085,Cecilia Gallerani is the main subject of Lady with an Ermine.,A person is the main subject of a painting.,What painting's main subject is a person?,What is the relation between a painting and a person?,What person is a painting's main subject?,Painting
1086,The Tartu Art Museum owns the Elsa Kaupingu portree.,A museum owns a painting.,What painting is owned by a museum?,What is the relation between a painting and a museum?,What museum owns a painting?,Painting
1087,The Tartu Art Museum owns the Elsa Kaupingu portree.,A museum owns a painting.,What painting is owned by a museum?,What is the relation between a painting and a museum?,What museum owns a painting?,Painting
1088,The catalog code for Virgin and Child before a Landscape is 257.,The catalog code for a painting is a number.,What painting's catalog code is a number?,What is the relation between a painting and a number?,What is the catalog number of a painting?,Painting
1089,The catalog code for Virgin and Child before a Landscape is 257.,The catalog code for a painting is a number.,What painting's catalog code is a number?,What is the relation between a painting and a number?,What is the catalog number of a painting?,Painting
1090,Clement Richard Atlee is a portrait.,A painting is a type of painting.,What painting is a type of painting?,What is the relation between a painting and a type of painting?,What type of painting is a painting?,Painting
1091,Clement Richard Atlee is a portrait.,A painting is a type of painting.,What painting is a type of painting?,What is the relation between a painting and a type of painting?,What type of painting is a painting?,Painting
1092,Spring in Jølster is in the public domain.,A painting is in a domain.,What painting is in a domain?,What is the relation between a painting and a domain?,What domain is a painting at?,Painting
1093,Spring in Jølster is in the public domain.,A painting is in a domain.,What painting is in a domain?,What is the relation between a painting and a domain?,What domain is a painting at?,Painting
1094,Hercules at the Crossroads depicts Athena.,A painting depicts a mythology creature.,What painting depicts a mythology creature?,What is the relation between a painting and a mythical creature?,What mythical creator does a painting depict?,Painting
1095,Hercules at the Crossroads depicts Athena.,A painting depicts a mythology creature.,What painting depicts a mythology creature?,What is the relation between a painting and a mythical creature?,What mythical creator does a painting depict?,Painting
1096,Lilled has a width of 24.1 centimetres.,A painting has a width of x centimeters.,What painting has a width of x centimeters?,What is the relation between a painting and width?,What is the width of a painting?,Painting
1097,Lilled has a width of 24.1 centimetres.,A painting has a width of x centimeters.,What painting has a width of x centimeters?,What is the relation between a painting and width?,What is the width of a painting?,Painting
1098,Galgenberg bei Gewitter has a height of 29.5 centimetres.,A painting has a height of x centimeters.,What painting has a height of x centimeters?,What is the relation between a painting and height?,What is the height of a painting?,Painting
1099,Galgenberg bei Gewitter has a height of 29.5 centimetres.,A painting has a height of x centimeters.,What painting has a height of x centimeters?,What is the relation between a painting and height?,What is the height of a painting?,Painting
1100,L'abbé Jacques Lebourdais dit Lapierre is also known as Lapierre.,A painting is also know as a title.,What painting is also known as a title?,What is the relation between a painting and a title?,What title is a painting also known as?,Painting
1101,L'abbé Jacques Lebourdais dit Lapierre is also known as Lapierre.,A painting is also know as a title.,What painting is also known as a title?,What is the relation between a painting and a title?,What title is a painting also known as?,Painting
1102,The flower market was founded in 1907.,A painting was founded in a time.,What painting was founded in a time?,What is the relation between a painting and a time?,What time is a painting founded?,Painting
1103,The flower market was founded in 1907.,A painting was founded in a time.,What painting was founded in a time?,What is the relation between a painting and a time?,What time is a painting founded?,Painting
1104,Brána was created by Ferdinand Hložník.,A painting was created by a person.,What painting was created by a person?,What is the relation between a painting and a person?,What person is a painting created by?,Painting
1105,Brána was created by Ferdinand Hložník.,A painting was created by a person.,What painting was created by a person?,What is the relation between a painting and a person?,What person is a painting created by?,Painting
1106,"The Elbe by Moonlight is located at the National Museum of Art, Architecture and Design.",A painting is located at a museum.,What painting is located at a museum?,What is the relation between a painting and a museum?,What museum is a painting located at?,Painting
1107,"The Elbe by Moonlight is located at the National Museum of Art, Architecture and Design.",A painting is located at a museum.,What painting is located at a museum?,What is the relation between a painting and a museum?,What museum is a painting located at?,Painting
1108,"George II, 1683-1760 has the inventory number BHC2710.",A panting has the inventory number number.,What painting has the inventory number number?,What is the relation between a painting and a number?,What is the inventory number of a painting?,Painting
1109,"George II, 1683-1760 has the inventory number BHC2710.",A panting has the inventory number number.,What painting has the inventory number number?,What is the relation between a painting and a number?,What is the inventory number of a painting?,Painting
1110,Autoportree is part of the Art Museum of Estonia's painting collection.,A painting is part of a collection.,What painting is part of a collection?,What is the relation between a painting and a collection?,What collection is a painting part of?,Painting
1111,Autoportree is part of the Art Museum of Estonia's painting collection.,A painting is part of a collection.,What painting is part of a collection?,What is the relation between a painting and a collection?,What collection is a painting part of?,Painting
1112,Podtatranská dedina - Mengušovce is made from material oil paint.,A painting is made of type of paint.,What painting is made of type of paint?,What is the relation between a painting and type of paint?,What type of paint is a painting made of?,Painting
1113,Podtatranská dedina - Mengušovce is made from material oil paint.,A painting is made of type of paint.,What painting is made of type of paint?,What is the relation between a painting and type of paint?,What type of paint is a painting made of?,Painting
1114,Lessingstraße is different from Lessingstraße.,A street is different from a street.,What street is different from a street?,What is the relation between two streets?,What street is different from a street?,Street
1115,Lessingstraße is different from Lessingstraße.,A street is different from a street,What a street is different from?,What is the relation between two different streets?,What a street is different from?,Street
1116,The source of Holyoke Street is Cambridge Buildings and Architects.,The source of a street is a website.,What street is the source a website?,What is the relation between a street and a website?,What website is the source of a street?,Street
1117,The source of Holyoke Street is Cambridge Buildings and Architects.,The source of a street is a website,What a website is the source of?,What is the relation between a street and a website?,What is the source of a street?,Street
1118,Old Queen Street is in the historic county of Middlesex.,A street is in a county.,What street is in a county?,What is the relation between a street and a county?,What county is a street in?,Street
1119,Old Queen Street is in the historic county of Middlesex.,A street is located in a county,What is located in a county?,What is the relation between a street and a county?,Where is a street located?,Street
1120,Lenther Straße is located in the statistical territorial entity of Badenstedt.,A street is located in a city.,What street is located in a city?,What is the relation between a street and a city?,What city is a street located in?,Street
1121,Lenther Straße is located in the statistical territorial entity of Badenstedt.,A street is located in a statistical territorial entity,What is located in a statistical territorial entity?,What is the relation between a street and a statistical territorial entity?,Where is a street located?,Street
1122,Paviljongsgatan is the terminus of Sankt Nikolaigränd.,An alley is the terminus of a street.,What alley is the terminus of a street?,What is the relation between an alley and a street?,What street has an alley as a terminus of?,Street
1123,Paviljongsgatan is the terminus of Sankt Nikolaigränd.,An alley is in the terminus of a street,What is in the terminus of a street?,What is the relation between an alley and the terminus of a street?,In the terminus of what is an alley located?,Street
1124,The width of Rue Raynouard is 14 metres.,The width of the street is x meters.,What street has a width of x meters?,What is the relation between a street and x meters?,How many meters is the width of a street?,Street
1125,The width of Rue Raynouard is 14 metres.,The width of a street is an amount of metres,-,What is the relation between a street and an amount of metres?,-,Street
1126,Andersen-Nexö-Straße is a native label.,A label is a native label.,What label is a native label?,What is the relation between a label and a native label?,What native label is a label?,Street
1127,Andersen-Nexö-Straße is a native label.,-,-,-,-,Street
1128,Tyynylaavankuja started on 09/10/1997.,An alley started on a time.,What alley started on a time?,What is the relation between an alley and a time?,What time did an alley start on?,Street
1129,Tyynylaavankuja started on 09/10/1997.,An alley started on a date.,-,What is the relation between an alley and a date?,When has an alley started?,Street
1130,The street key for Tulpenstrasse is 2049.,The street key for a street is a number.,What street is a number a street key?,What is the relation between a street and a number?,What number is the street key of a street?,Street
1131,The street key for Tulpenstrasse is 2049.,A street is related to a street key,What a street key is related to?,What is the relation between a street and a street key?,What is a street related to?,Street
1132,Rijksweg nr. 1 is part of the A1 motorway.,A street is part of a highway.,What street is part of a highway?,What is the relation between a street and a highway?,What highway is a street a part of?,Street
1133,Rijksweg nr. 1 is part of the A1 motorway.,A street is part of a highway,What is part of a highway?,What is the relation between a street and a highway?,What is a street part of?,Street
1134,Spireastraat was founded on 26/06/1951.,A street was founded on a time.,What street was founded on a time?,What is the relation between a street and a time?,What time was a street founded on?,Street
1135,Spireastraat was founded on 26/06/1951.,A street was founded on a date,What was founded on a date?,What is the relation between a street and a date?,When was a street founded?,Street
1136,The length of Улица Гладкова is 960 metres.,The length of a street is x meters.,What street has a length of x meters?,What is the relation between a street and x meters?,How many meters is the length of a street?,Street
1137,The length of Улица Гладкова is 960 metres.,The length of a street is an amount of metres,What an amount of metres is the length of?,What is the relation between a street and an amount of metres?,What is the length of a street?,Street
1138,Rue Raynouard has a border with rue Lyautey.,A street has a border with a street.,What street has a border with a street?,What is the relation between two streets?,What street has a border with a street?,Street
1139,Rue Raynouard has a border with rue Lyautey.,A street has a border with a street,What a street has a border with?,What is the relation between a street and a street?,What a street has a border with?,Street
1140,Tzschimmerstraße is connected to Wormser Straße.,A street is connected to a street.,What street is connected to a street?,What is the relation between two streets?,What street is a street connected to?,Street
1141,Tzschimmerstraße is connected to Wormser Straße.,A street is connected to a street.,What is connected to a street?,What is the relation between a street and a street.,What is connected to a street?,Street
1142,Rudolf Harbig-Straße is named after Rudolf Harbig.,A street is named after a person.,What street is named after a person?,What is the relation between a street and a person?,What person is a street named after?,Street
1143,Rudolf Harbig-Straße is named after Rudolf Harbig.,A street is named after a person,What is named after a person?,What is the relation between a street and a person?,What a street is named after?,Street
1144,The official name of Cvokařská is Cvokařská.,The official name of a street is a name.,What street has an official name a name?,What is the relation between a street and a name?,What name does a street have an official name?,Street
1145,The official name of Cvokařská is Cvokařská.,A street has as official name a name,What a name is the official name of?,What is the relation between a street and a name?,What is the official name of a street?,Street
1146,Lange Sloot is located in Velserbroek.,A street is located in a village.,What street is located in a village?,What is the relation between a street and a village?,What village is a street located in?,Street
1147,Lange Sloot is located in Velserbroek.,A street is located in a village,What is located in a village?,What is the relation between a street and a village?,Where is a street located?,Street
1148,"Foudering, Wergea is the street address of Foudering.",Address is the street address of a street.,What address is the street address of a street?,What is the relation between an address and a street?,What street is an address a street address of?,Street
1149,"Foudering, Wergea is the street address of Foudering.",-,-,-,-,Street
1150,Steinbacher Straße is located in Germany.,A street is located in a country.,What street is located in a country?,What is the relation between a street and a country?,What country is a street located in?,Street
1151,Steinbacher Straße is located in Germany.,A street is located in a country,What is located in a country?,What is the relation between a street and a country?,Where is a street located?,Street
1152,Kose põik is located in the administrative territorial entity of Tallinn City.,A street is located in a municipality.,What street is located in a municipality?,What is the relation between a street and a municipality?,What municipality is a street located in?,Street
1153,Kose põik is located in the administrative territorial entity of Tallinn City.,A street is located in a municipality,What is located in a municipality?,What is the relation between a street and a municipality?,Where is a street located?,Street
1154,The postal code for Kostelní is 410 02.,The postal code for a street is a code.,What street is a code a postal code of?,What is the relation between a street and a postal code?,What code is the postal code of a street?,Street
1155,The postal code for Kostelní is 410 02.,A street has a postal code ,What is a postal code the postal code of?,What is the relation between a street and a postal code?,-,Street
1156,TRA R100 has a height of 3920 millimetres.,S: The locomotive / P: has height / O: height,What is part of the means of transposrtation?,What is a measurement for means of transportation?,What is the height of a locomotive?,MeanOfTransportation
1157,TRA R100 has a height of 3920 millimetres.,A locomotive has a height.,What has a height?,What is the relation between a locomotive and a height?,What is the height of a locomotive?,MeanOfTransportation
1158,NZR Q class is different from NZR Q class.,A 19th century locomotive is different from a 20th century locomotive,How can the locomotive be temporally defined?,What is the similarity relationship between locomotives?,How can the locomotive be temporally defined?,MeanOfTransportation
1159,NZR Q class is different from NZR Q class.,A locomotive is different from a locomotive.,What is different from a locomotive?,What is the relation between locomotives?,What is different from a locomotive?,MeanOfTransportation
1160,The kick scooter is used to cycle in Belarus.,The bycicle is a common mean of transportation in East Europe,What is a common mean of transportation in East Europe?,How to go around in Europe?,Where is the bycicle a common mean of transportation?,MeanOfTransportation
1161,The kick scooter is used to cycle in Belarus.,A scooter is used to cycle in a country.,What is used to cycle in a country?,What is the relation between a scooter and a country?,Where is a scooter used?,MeanOfTransportation
1162,TRA E1000 has a width of 2885 millimetres.,A locomotive / is wide / a width in millimeters,What mean of transportation is wide in millimeters?,What is the measurement relationship in millimeters for the locomotive?,What is a measurement in millimeters for the locomotive?,MeanOfTransportation
1163,TRA E1000 has a width of 2885 millimetres.,A locomotive has a width.,What has a width?,What is the relation between a locomotive and a width?,What is the width of a locomotive?,MeanOfTransportation
1164,The Great Northern Railway J-2 has a boiler pressure of 210 pounds per square inch.,The railway / has a boiler pressure / pressure in pounds per square inch,What has a boiler pressure measured in pounds per square inch?,What is the measurement relationship between railway and pounds per square inch?,What is a measurement in pounds per square inch for railways?,MeanOfTransportation
1165,The Great Northern Railway J-2 has a boiler pressure of 210 pounds per square inch.,A locomotive has a boiler pressure.,What has a boiler pressure?,What is the relation between a locomotive and boiler pressure?,What is the boiler pressure of a locomotive?,MeanOfTransportation
1166,Lausitzer Radfahrer-Bund is located in Demitz-Thumitz.,A german cycling association Lausitzer Radfahrer-Bund / is located / in Germany,What german association is located in Demitz-Thumitz?,What is the relationship concerning an entity and a place?,Where is the cycling association Lausitzer Radfahrer-Bund located in?,MeanOfTransportation
1167,Lausitzer Radfahrer-Bund is located in Demitz-Thumitz.,An association is located in a city.,What is located in a city?,What is the relation between an association and a city?,Where is an association located?,MeanOfTransportation
1168,Alejandro Valverde is the combination classification for 2018 Vuelta a España stage 16.,At the stage of the Vuelta a España 2018 number 16 /has combination classification / Alejandro Valverde,What has combination classification Alejandro Valverde?,What is the classificaion of a cycling road race called?,Who is the combination classification for 2018 Vuelta a España stage 16?,MeanOfTransportation
1169,Alejandro Valverde is the combination classification for 2018 Vuelta a España stage 16.,A person is the combination classification of a stage.,Who is the combination classification of a stage?,What is the relation between a person and a stage?,What is a person a combination classification of?,MeanOfTransportation
1170,The nickname of SBB-CFF-FFS C 5/6 is Elefant.,The locomotive / has the nickname / Elefant,What mean of transportation has the nickname Elefant?,What is the relationship between an entity and a nickname?,What is the locomotive called as a nickname?,MeanOfTransportation
