,original_triple,SubjectCQ_x,PropertyCQ_x,ObjectCQ_x,Theme_x,Verbalisation,SubjectCQ_y,PropertyCQ_y,ObjectCQ_y,Theme_y
1028,Vase décoré de feuilles de chêne has the copyright status of public domain.,What has the copyright status of public domain?,What is the status of a vase?,What is the copyright status of a vase?,Monument,A sculpture has the copyright status of a copyright domain.,What does the copyright status of a copyright domain have?,What is the relation between a sculpture and a copyright domain?,What does a sculpture has the copyright status of?,Monument
1029,Vase décoré de feuilles de chêne has the copyright status of public domain.,What has the copyright status of public domain?,What is the status of a vase?,What is the copyright status of a vase?,Monument,A sculpture has the copyright status of a copyright domain.,What does the copyright status of a copyright domain have?,What is the relation between a sculpture and a copyright domain?,What does a sculpture has the copyright status of?,Monument
1030,The main subject of Vierge à l'Enfant is Madonna and Child.,Madonna and Child is the main subject of what film?,What is Madonna and Child?,What is the main subject of Vierge à l'Enfant?,Monument,The main subject of an artwork is an artistic subject.,What is an artistic subject the main subject of?,What is the relation between an artwork and an artistic subject?,What is the main subject of an artwork?,Monument
1031,The main subject of Vierge à l'Enfant is Madonna and Child.,Madonna and Child is the main subject of what film?,What is Madonna and Child?,What is the main subject of Vierge à l'Enfant?,Monument,The main subject of an artwork is an artistic subject.,What is an artistic subject the main subject of?,What is the relation between an artwork and an artistic subject?,What is the main subject of an artwork?,Monument
1032,The main subject of Vierge à l'Enfant is Madonna and Child.,Madonna and Child is the main subject of what film?,What is Madonna and Child?,What is the main subject of Vierge à l'Enfant?,Monument,The main subject of an artwork is an artistic subject.,What is an artistic subject the main subject of?,What is the relation between an artwork and an artistic subject?,What is the main subject of an artwork?,Monument
1033,The main subject of Vierge à l'Enfant is Madonna and Child.,Madonna and Child is the main subject of what film?,What is Madonna and Child?,What is the main subject of Vierge à l'Enfant?,Monument,The main subject of an artwork is an artistic subject.,What is an artistic subject the main subject of?,What is the relation between an artwork and an artistic subject?,What is the main subject of an artwork?,Monument
1034,The main subject of Vierge à l'Enfant is Madonna and Child.,Madonna and Child is the main subject of what film?,What is Madonna and Child?,What is the main subject of Vierge à l'Enfant?,Monument,The main subject of an artwork is an artistic subject.,What is an artistic subject the main subject of?,What is the relation between an artwork and an artistic subject?,What is the main subject of an artwork?,Monument
1035,The main subject of Vierge à l'Enfant is Madonna and Child.,Madonna and Child is the main subject of what film?,What is Madonna and Child?,What is the main subject of Vierge à l'Enfant?,Monument,The main subject of an artwork is an artistic subject.,What is an artistic subject the main subject of?,What is the relation between an artwork and an artistic subject?,What is the main subject of an artwork?,Monument
1036,Bildstock has a series ordinal of 0.,What has a series ordinal of 0?,Bildstock has a what of 0.,Bildstock has a series ordinal of what?,Monument,A cultural heritage has a series ordinal of a number.,What is a number a series ordinal of?,What is the relation between a cultural heritage and a number?,What does a cultural heritage have a series ordinal of?,Monument
1037,Bildstock has a series ordinal of 0.,What has a series ordinal of 0?,Bildstock has a what of 0.,Bildstock has a series ordinal of what?,Monument,A cultural heritage has a series ordinal of a number.,What is a number a series ordinal of?,What is the relation between a cultural heritage and a number?,What does a cultural heritage have a series ordinal of?,Monument
1038,Bildstock has a series ordinal of 0.,What has a series ordinal of 0?,Bildstock has a what of 0.,Bildstock has a series ordinal of what?,Monument,A cultural heritage has a series ordinal of a number.,What is a number a series ordinal of?,What is the relation between a cultural heritage and a number?,What does a cultural heritage have a series ordinal of?,Monument
1039,Bildstock has a series ordinal of 0.,What has a series ordinal of 0?,Bildstock has a what of 0.,Bildstock has a series ordinal of what?,Monument,A cultural heritage has a series ordinal of a number.,What is a number a series ordinal of?,What is the relation between a cultural heritage and a number?,What does a cultural heritage have a series ordinal of?,Monument
1040,"Terugblik en Toekomst der Spoorwegen is located on street Julianaplein, Amsterdam.",What is the name of the business located on Julianaplein?,Where is Terugblik en Toekomst der Spoorwegen?,Where is Terugblik en Toekomst der Spoorwegen located?,Monument,A sculpture is located on an address.,What is located on an address?,What is the relation between a sculpture and an address?,What is a sculpture located on?,Monument
1041,"Terugblik en Toekomst der Spoorwegen is located on street Julianaplein, Amsterdam.",What is the name of the business located on Julianaplein?,Where is Terugblik en Toekomst der Spoorwegen?,Where is Terugblik en Toekomst der Spoorwegen located?,Monument,A sculpture is located on an address.,What is located on an address?,What is the relation between a sculpture and an address?,What is a sculpture located on?,Monument
1042,Voltaire has a width of 45.5 centimetres.,What is the name of the rock that has a width of 45.5 centimetres?,What is Voltaire's measurement?,What is Voltaire's width?,Monument,A sculpture has a width of a measure of length.,What does a measure of length have a width of?,What is the relation between a sculpture and a measure of length?,What does a sculpture have a width of?,Monument
1043,Voltaire has a width of 45.5 centimetres.,What is the name of the rock that has a width of 45.5 centimetres?,What is Voltaire's measurement?,What is Voltaire's width?,Monument,A sculpture has a width of a measure of length.,What does a measure of length have a width of?,What is the relation between a sculpture and a measure of length?,What does a sculpture have a width of?,Monument
1044,Steinkreuz Rieden is in the heritage monument list of Liste der Baudenkmäler in Rieden.,What is on the heritage monument list of Rieden?,What is Steinkreuz Rieden on the list of Baudenkmäler in Rieden?,What is Steinkreuz Rieden in the heritage monument list?,Monument,A monument is in the heritage monument list of Wikimedia list article.,What is in the heritage monument list of Wikimedia list article?,What is the relation between a monument and a Wikimedia list article?,What is a monument in the heritage monument list of?,Monument
1045,Steinkreuz Rieden is in the heritage monument list of Liste der Baudenkmäler in Rieden.,What is on the heritage monument list of Rieden?,What is Steinkreuz Rieden on the list of Baudenkmäler in Rieden?,What is Steinkreuz Rieden in the heritage monument list?,Monument,A monument is in the heritage monument list of Wikimedia list article.,What is in the heritage monument list of Wikimedia list article?,What is the relation between a monument and a Wikimedia list article?,What is a monument in the heritage monument list of?,Monument
1046,Socha svatého Gottharda is officially known as socha sv. Gottharda.,What is the official name of socha sv. Gottharda?,What is socha svatého Gottharda's official name?,What is the official name of Socha svatého Gottharda?,Monument,A historical figure is officially known as name of historical figure.,What is officially known as name of historical figure?,What is the relation between a historical figure and name of historical figure?,What is a historical figure officially known as?,Monument
1047,Socha svatého Gottharda is officially known as socha sv. Gottharda.,What is the official name of socha sv. Gottharda?,What is socha svatého Gottharda's official name?,What is the official name of Socha svatého Gottharda?,Monument,A historical figure is officially known as name of historical figure.,What is officially known as name of historical figure?,What is the relation between a historical figure and name of historical figure?,What is a historical figure officially known as?,Monument
1048,Madonna and Child with Saints has the title Madonna and Child with Saints.,What is the title of the title of Madonna and Child with Saints?,What is the title of Madonna and Child with Saints?,What is the title of the title of Madonna and Child with Saints?,Monument,A sculpture has the title title of the sculpture.,What does title have title of the sculpture?,What is the relation between a sculpture and a title of the sculpture?,What is the title of a sculpture?,Monument
1049,Madonna and Child with Saints has the title Madonna and Child with Saints.,What is the title of the title of Madonna and Child with Saints?,What is the title of Madonna and Child with Saints?,What is the title of the title of Madonna and Child with Saints?,Monument,A sculpture has the title title of the sculpture.,What does title have title of the sculpture?,What is the relation between a sculpture and a title of the sculpture?,What is the title of a sculpture?,Monument
1050,The religion of l'Education de la Vierge is Christianity.,What is the religion of?,What is the religion of l'Education de la Vierge?,What is the religion of l'Education de la Vierge?,Monument,An artwork is a religious group.,What is a religious group?,What is the relation between an artwork and a religious group?,What an artwork is?,Monument
1051,The religion of l'Education de la Vierge is Christianity.,What is the religion of?,What is the religion of l'Education de la Vierge?,What is the religion of l'Education de la Vierge?,Monument,An artwork is a religious group.,What is a religious group?,What is the relation between an artwork and a religious group?,What an artwork is?,Monument
1052,The Statue of Robert Milligan commemorates Robert Milligan.,What commemorates Robert Milligan?,What does the Statue of Robert Milligan do?,Who is commemorated by the Statue of Robert Milligan?,Monument,A sculpture commemorates a person.,What is a person commemorated by?,What is the relation between a sculpture and a person?,What does a sculpture commemorate?,Monument
1053,The Statue of Robert Milligan commemorates Robert Milligan.,What commemorates Robert Milligan?,What does the Statue of Robert Milligan do?,Who is commemorated by the Statue of Robert Milligan?,Monument,A sculpture commemorates a person.,What is a person commemorated by?,What is the relation between a sculpture and a person?,What does a sculpture commemorate?,Monument
1054,CIIC 231 (Ogham Stone Concept by RAS Macalister) has the inscription LOGITTI MAQI ERPENN.,What is the inscription LOGITTI MAQI ERPENN on?,What is the LOGITTI MAQI ERPENN?,What is the inscription on CIIC 231?,Monument,Ogham stone by RAS Macalister has the inscription type of inscription.,What has the inscription type of inscription?,What is the relation between Ogham stone by RAS Macalister and type of inscription?,What is the inscription of Ogham stone by RAS Macalister? ,Monument
1055,CIIC 231 (Ogham Stone Concept by RAS Macalister) has the inscription LOGITTI MAQI ERPENN.,What is the inscription LOGITTI MAQI ERPENN on?,What is the LOGITTI MAQI ERPENN?,What is the inscription on CIIC 231?,Monument,Ogham stone by RAS Macalister has the inscription type of inscription.,What has the inscription type of inscription?,What is the relation between Ogham stone by RAS Macalister and type of inscription?,What is the inscription of Ogham stone by RAS Macalister? ,Monument
1056,The OS grid reference for War Memorial is SU5395305919.,What is the OS grid reference for?,What is the War Memorial's SU5395305919?,What is the OS grid reference for War Memorial?,Monument,The OS grid reference for a monument is a OS grid reference,What is the OS grid reference of a monument?,What is the relation between a monument and a OS grid reference?,What the OS grid reference does a monument have? ,Monument
1057,The OS grid reference for War Memorial is SU5395305919.,What is the OS grid reference for?,What is the War Memorial's SU5395305919?,What is the OS grid reference for War Memorial?,Monument,The OS grid reference for a monument is a OS grid reference,What is the OS grid reference of a monument?,What is the relation between a monument and a OS grid reference?,What the OS grid reference does a monument have? ,Monument
1058,Seated Tara has the inventory number 1989.347.,What company has the inventory number 1989.347?,What is the inventory number of Seated Tara?,What is the inventory number of Seated Tara?,Monument,A sculpture has the inventory number inventory number.,What does the inventory number inventory number have?,What is the relation between a sculpture and a inventory number?,What inventory number does a sculpture have?,Monument
1059,Seated Tara has the inventory number 1989.347.,What company has the inventory number 1989.347?,What is the inventory number of Seated Tara?,What is the inventory number of Seated Tara?,Monument,A sculpture has the inventory number inventory number.,What does the inventory number inventory number have?,What is the relation between a sculpture and a inventory number?,What inventory number does a sculpture have?,Monument
1060,Milestone East South East Of Rievaulx Village is located in the historic county of Yorkshire.,What is the name of the historic village located in Yorkshire?,In what county is Milestone East South East Of Rievaulx Village located?,In what county is Milestone East South East Of Rievaulx Village located?,Monument,A milestone is located in a historical location.,What is located in a historical location?,What is the relation between a milestone and a historical location?,What is a milestone located in?,Monument
1061,Milestone East South East Of Rievaulx Village is located in the historic county of Yorkshire.,What is the name of the historic village located in Yorkshire?,In what county is Milestone East South East Of Rievaulx Village located?,In what county is Milestone East South East Of Rievaulx Village located?,Monument,A milestone is located in a historical location.,What is located in a historical location?,What is the relation between a milestone and a historical location?,What is a milestone located in?,Monument
1062,The street address of Brückenfigur is Main.,What is the street address of Main?,What is the main street address of Brückenfigur?,What is the street address of Brückenfigur?,Monument,The street address of a cultural heritage monument is street address.,What is the street address of?,What is the relation between a cultural heritage monument and a street address?,What is the street address of a cultural heritage monument?,Monument
1063,The street address of Brückenfigur is Main.,What is the street address of Main?,What is the main street address of Brückenfigur?,What is the street address of Brückenfigur?,Monument,The street address of a cultural heritage monument is street address.,What is the street address of?,What is the relation between a cultural heritage monument and a street address?,What is the street address of a cultural heritage monument?,Monument
1064,The source of life is religious art.,What is religious art?,What is the source of life?,What is the source of life?,Monument,A cultural heritage is an artistic theme expression.,What is an artistic theme expression?,What is the relation between a cultural heritage and an artistic theme expression?,What is a cultural heritage?,Monument
1065,The source of life is religious art.,What is religious art?,What is the source of life?,What is the source of life?,Monument,A cultural heritage is an artistic theme expression.,What is an artistic theme expression?,What is the relation between a cultural heritage and an artistic theme expression?,What is a cultural heritage?,Monument
1066,The collection of the Israel Museum is a couple.,What is the collection of the Israel Museum?,What is the Israel Museum's couple's collection?,What is the name of the museum that houses the collection of a couple?,Monument,The collection of a museum is a figurine.,What is the collection of a museum?,What is the relation between a museum and a figure?,What is a figure the collection of?,Monument
1067,The collection of the Israel Museum is a couple.,What is the collection of the Israel Museum?,What is the Israel Museum's couple's collection?,What is the name of the museum that houses the collection of a couple?,Monument,The collection of a museum is a figurine.,What is the collection of a museum?,What is the relation between a museum and a figure?,What is a figure the collection of?,Monument
1068,"Bildstock is part of Ehemaliger Einfirsthof, sog. beim Schlögl.",What is a part of the Ehemaliger Einfirsthof?,What is Bildstock a part of?,What is the name of the group that includes Bildstock?,Monument,A cultural heritage monument is part of a cultural heritage complex,What is part of a cultural heritage complex?,What is the relation between a cultural heritage and a cultural heritage complex?,What is a cultural heritage monument part of?,Monument
1069,"Bildstock is part of Ehemaliger Einfirsthof, sog. beim Schlögl.",What is a part of the Ehemaliger Einfirsthof?,What is Bildstock a part of?,What is the name of the group that includes Bildstock?,Monument,A cultural heritage monument is part of a cultural heritage complex,What is part of a cultural heritage complex?,What is the relation between a cultural heritage and a cultural heritage complex?,What is a cultural heritage monument part of?,Monument
1070,Mortar with Foliage and Acanthus Leaves was invented in the 17th century.,What was the name of the invention that took place in the 17th century?,When was Mortar with Foliage and Acanthus Leaves invented?,When was Mortar with Foliage and Acanthus Leaves invented?,Monument,A sculpture is invented in a historical period.,What is invented in a historical period?,What is the relation between a sculpture and a historical period?,What is a sculpture invented in?,Monument
1071,Mortar with Foliage and Acanthus Leaves was invented in the 17th century.,What was the name of the invention that took place in the 17th century?,When was Mortar with Foliage and Acanthus Leaves invented?,When was Mortar with Foliage and Acanthus Leaves invented?,Monument,A sculpture is invented in a historical period.,What is invented in a historical period?,What is the relation between a sculpture and a historical period?,What is a sculpture invented in?,Monument
1072,Elena Paroucheva is the creator of the source.,What is Elena Paroucheva the creator of?,What is Elena Paroucheva's job?,Who created the source?,Monument,An artist is the creator of an artwork.,What is an artist the creator of?,What is the relation between an artist and an artwork?,What is the creator of an artwork?,Monument
1073,Elena Paroucheva is the creator of the source.,What is Elena Paroucheva the creator of?,What is Elena Paroucheva's job?,Who created the source?,Monument,An artist is the creator of an artwork.,What is an artist the creator of?,What is the relation between an artist and an artwork?,What is the creator of an artwork?,Monument
1074,"Un fleuve, Foucou is a plant.",What is a plant called?,What does Foucou do?,What is Foucou?,Monument,A statue is a depiction of something.,What is a depiction of something?,What is the relation between a statue and a depiction of something?,What is a statue a depiction of?,Monument
1075,"Un fleuve, Foucou is a plant.",What is a plant called?,What does Foucou do?,What is Foucou?,Monument,A statue is a depiction of something.,What is a depiction of something?,What is the relation between a statue and a depiction of something?,What is a statue a depiction of?,Monument
1076,Spartacus brisant ses liens are made from bronze.,What is made from bronze?,What are Spartacus brisant ses liens made of?,What material is Spartacus brisant ses liens made from?,Monument,A sculpture is made from a material.,What is made from a material?,What is the relation between a sculpture and a material?,What is a sculpture made from?,Monument
1077,Spartacus brisant ses liens are made from bronze.,What is made from bronze?,What are Spartacus brisant ses liens made of?,What material is Spartacus brisant ses liens made from?,Monument,A sculpture is made from a material.,What is made from a material?,What is the relation between a sculpture and a material?,What is a sculpture made from?,Monument
1078,"Panneau décoratif de fleurs, de fruits et d'animaux is located at Petit Palais.",What is located at Petit Palais?,,,Monument,A sculpture is located at a building.,What is located at a building?,What is the relation between a sculpture and a building?,What is a sculpture located at?,Monument
1079,"Panneau décoratif de fleurs, de fruits et d'animaux is located at Petit Palais.",What is located at Petit Palais?,,,Monument,A sculpture is located at a building.,What is located at a building?,What is the relation between a sculpture and a building?,What is a sculpture located at?,Monument
1080,Earthwork on Botany Hill is a historic monument.,What is a historic monument?,What is the designation given to the Earthwork on Botany Hill?,What is Earthwork on Botany Hill?,Monument,A site is a scheduled monument.,What is a scheludel monument?,What is the relation between a site and a scheduled monument?,What is a site?,Monument
1081,Earthwork on Botany Hill is a historic monument.,What is a historic monument?,What is the designation given to the Earthwork on Botany Hill?,What is Earthwork on Botany Hill?,Monument,A site is a scheduled monument.,What is a scheludel monument?,What is the relation between a site and a scheduled monument?,What is a site?,Monument
1082,Castell d'Olorda is located in the administrative territorial entity of Barcelona.,What is the name of the city in Barcelona?,Where is Castell d'Olorda?,Castell d'Olorda is located in what city?,Monument,A cultural property is located in the administrative territorial entity of a city..,What is  located in the administrative territorial entity of a city?,What is the relation between a cultural property and a city?,What is a cultural property located in the administrative territorial of?,Monument
1083,Castell d'Olorda is located in the administrative territorial entity of Barcelona.,What is the name of the city in Barcelona?,Where is Castell d'Olorda?,Castell d'Olorda is located in what city?,Monument,A cultural property is located in the administrative territorial entity of a city..,What is  located in the administrative territorial entity of a city?,What is the relation between a cultural property and a city?,What is a cultural property located in the administrative territorial of?,Monument
1084,Gottröra 140:1 is from Sweden.,Who is the name of the Swedish singer who is from Sweden?,Gottröra 140:1 is from what country?,Gottröra 140:1 is from what country?,Monument,A stone is from a state,What is from a state?,What is the relation between a stone and a state?,What is a stone from?,Monument
1085,Gottröra 140:1 is from Sweden.,Who is the name of the Swedish singer who is from Sweden?,Gottröra 140:1 is from what country?,Gottröra 140:1 is from what country?,Monument,A stone is from a state,What is from a state?,What is the relation between a stone and a state?,What is a stone from?,Monument
1086,TRA R100 has a height of 3920 millimetres.,What is the name of the TRA vehicle?,What is the TRA R100's measurement?,What is the height of the TRA R100?,MeanOfTransportation,S: The locomotive / P: has height / O: height,What is part of the means of transposrtation?,What is a measurement for means of transportation?,What is the height of a locomotive?,MeanOfTransportation
1087,TRA R100 has a height of 3920 millimetres.,What is the name of the TRA vehicle?,What is the TRA R100's measurement?,What is the height of the TRA R100?,MeanOfTransportation,A locomotive has a height.,What has a height?,What is the relation between a locomotive and a height?,What is the height of a locomotive?,MeanOfTransportation
1088,NZR Q class is different from NZR Q class.,What class is different from NZR Q class?,What is NZR Q class different from?,What class is different from NZR Q class?,MeanOfTransportation,A 19th century locomotive is different from a 20th century locomotive,How can the locomotive be temporally defined?,What is the similarity relationship between locomotives?,How can the locomotive be temporally defined?,MeanOfTransportation
1089,NZR Q class is different from NZR Q class.,What class is different from NZR Q class?,What is NZR Q class different from?,What class is different from NZR Q class?,MeanOfTransportation,A locomotive is different from a locomotive.,What is different from a locomotive?,What is the relation between locomotives?,What is different from a locomotive?,MeanOfTransportation
1090,NZR Q class is different from NZR Q class.,What class is different from NZR Q class?,What is NZR Q class different from?,What class is different from NZR Q class?,MeanOfTransportation,A 19th century locomotive is different from a 20th century locomotive,How can the locomotive be temporally defined?,What is the similarity relationship between locomotives?,How can the locomotive be temporally defined?,MeanOfTransportation
1091,NZR Q class is different from NZR Q class.,What class is different from NZR Q class?,What is NZR Q class different from?,What class is different from NZR Q class?,MeanOfTransportation,A locomotive is different from a locomotive.,What is different from a locomotive?,What is the relation between locomotives?,What is different from a locomotive?,MeanOfTransportation
1092,The kick scooter is used to cycle in Belarus.,What is the kick scooter used for?,What is the kick scooter used for in Belarus?,What is used to cycle in Belarus?,MeanOfTransportation,The bycicle is a common mean of transportation in East Europe,What is a common mean of transportation in East Europe?,How to go around in Europe?,Where is the bycicle a common mean of transportation?,MeanOfTransportation
1093,The kick scooter is used to cycle in Belarus.,What is the kick scooter used for?,What is the kick scooter used for in Belarus?,What is used to cycle in Belarus?,MeanOfTransportation,A scooter is used to cycle in a country.,What is used to cycle in a country?,What is the relation between a scooter and a country?,Where is a scooter used?,MeanOfTransportation
1094,TRA E1000 has a width of 2885 millimetres.,What has a width of 2885 millimeters?,What is the TRA E1000's measurement?,What is the width of the TRA E1000?,MeanOfTransportation,A locomotive / is wide / a width in millimeters,What mean of transportation is wide in millimeters?,What is the measurement relationship in millimeters for the locomotive?,What is a measurement in millimeters for the locomotive?,MeanOfTransportation
1095,TRA E1000 has a width of 2885 millimetres.,What has a width of 2885 millimeters?,What is the TRA E1000's measurement?,What is the width of the TRA E1000?,MeanOfTransportation,A locomotive has a width.,What has a width?,What is the relation between a locomotive and a width?,What is the width of a locomotive?,MeanOfTransportation
1096,The Great Northern Railway J-2 has a boiler pressure of 210 pounds per square inch.,What railroad has a boiler pressure of 210 pounds per square inch?,What is the main feature of the Great Northern Railway J-2?,What is the boiler pressure of the Great Northern Railway J-2?,MeanOfTransportation,The railway / has a boiler pressure / pressure in pounds per square inch,What has a boiler pressure measured in pounds per square inch?,What is the measurement relationship between railway and pounds per square inch?,What is a measurement in pounds per square inch for railways?,MeanOfTransportation
1097,The Great Northern Railway J-2 has a boiler pressure of 210 pounds per square inch.,What railroad has a boiler pressure of 210 pounds per square inch?,What is the main feature of the Great Northern Railway J-2?,What is the boiler pressure of the Great Northern Railway J-2?,MeanOfTransportation,A locomotive has a boiler pressure.,What has a boiler pressure?,What is the relation between a locomotive and boiler pressure?,What is the boiler pressure of a locomotive?,MeanOfTransportation
1098,Lausitzer Radfahrer-Bund is located in Demitz-Thumitz.,What is located in Demitz-Thumitz?,What is the location of the Lausitzer Radfahrer-Bund?,Where is the Lausitzer Radfahrer-Bund located?,MeanOfTransportation,A german cycling association Lausitzer Radfahrer-Bund / is located / in Germany,What german association is located in Demitz-Thumitz?,What is the relationship concerning an entity and a place?,Where is the cycling association Lausitzer Radfahrer-Bund located in?,MeanOfTransportation
1099,Lausitzer Radfahrer-Bund is located in Demitz-Thumitz.,What is located in Demitz-Thumitz?,What is the location of the Lausitzer Radfahrer-Bund?,Where is the Lausitzer Radfahrer-Bund located?,MeanOfTransportation,An association is located in a city.,What is located in a city?,What is the relation between an association and a city?,Where is an association located?,MeanOfTransportation
1100,Alejandro Valverde is the combination classification for 2018 Vuelta a España stage 16.,What stage is Alejandro Valverde in?,What classification is Alejandro Valverde?,,MeanOfTransportation,At the stage of the Vuelta a España 2018 number 16 /has combination classification / Alejandro Valverde,What has combination classification Alejandro Valverde?,What is the classificaion of a cycling road race called?,Who is the combination classification for 2018 Vuelta a España stage 16?,MeanOfTransportation
1101,Alejandro Valverde is the combination classification for 2018 Vuelta a España stage 16.,What stage is Alejandro Valverde in?,What classification is Alejandro Valverde?,,MeanOfTransportation,A person is the combination classification of a stage.,Who is the combination classification of a stage?,What is the relation between a person and a stage?,What is a person a combination classification of?,MeanOfTransportation
1102,The nickname of SBB-CFF-FFS C 5/6 is Elefant.,What is the nickname of Elefant?,What is Elefant?,,MeanOfTransportation,The locomotive / has the nickname / Elefant,What mean of transportation has the nickname Elefant?,What is the relationship between an entity and a nickname?,What is the locomotive called as a nickname?,MeanOfTransportation
1103,The nickname of SBB-CFF-FFS C 5/6 is Elefant.,What is the nickname of Elefant?,What is Elefant?,,MeanOfTransportation,The nickname of a locomotive is a nickname.,What is a nickname?,What is the relation between a locomotive and a nickname?,What is a locomotive's nickname?,MeanOfTransportation
1104,GWR No. 12 has a stroke of 9 inch.,What has a stroke of 9 inch?,What is the size of the GWR No. 12?,What is the stroke of GWR No. 12?,MeanOfTransportation,The British locomotive / has a stroke / length in inch,What mean of transportation has a length in inches?,What is the relationship measurement between locomotive and length in inches?,What is the measurement of the length of the British locomotive?,MeanOfTransportation
1105,GWR No. 12 has a stroke of 9 inch.,What has a stroke of 9 inch?,What is the size of the GWR No. 12?,What is the stroke of GWR No. 12?,MeanOfTransportation,A locomotive has a stroke.,What has a stroke?,What is the relation between a locomotive and a stroke?,What is the stroke of a locomotive?,MeanOfTransportation
1106,Nord 3.1241 to 3.1248 are replaced by Nord 3.1249 and 3.1250.,What are replaced by Nord 3.1249 and 3.1250?,What are Nord 3.1249 and 3.1250?,What are the names of the two newer versions of the telemetry system?,MeanOfTransportation,A compound of locomotives is replaced by a compound of locomotives,What has been replaced by a compound of locomotives?,What is the substitution relationship between two means of transportation?,What has replaced a compound of locomotives?,MeanOfTransportation
1107,Nord 3.1241 to 3.1248 are replaced by Nord 3.1249 and 3.1250.,What are replaced by Nord 3.1249 and 3.1250?,What are Nord 3.1249 and 3.1250?,What are the names of the two newer versions of the telemetry system?,MeanOfTransportation,A locomotive is replaced by a locomotive.,What is replaced by a locomotive?,What is the relation between locomotives?,What replaces a locomotive?,MeanOfTransportation
1108,Lampre-Farnese Vini 2010 are part of the 2010 Tre Valli Varesine team.,What team is Lampre-Farnese Vini 2010 a part of?,What is the role of Lampre-Farnese Vini 2010?,Who is a part of the 2010 Tre Valli Varesine team?,MeanOfTransportation,The Valli Varesine 2010 team has Lampre-Farnese vini,Who has Lampre Farnese vini?,What is the possession relationship between two entities?,What does the 2010 team Valli Varesine have?,MeanOfTransportation
1109,Lampre-Farnese Vini 2010 are part of the 2010 Tre Valli Varesine team.,What team is Lampre-Farnese Vini 2010 a part of?,What is the role of Lampre-Farnese Vini 2010?,Who is a part of the 2010 Tre Valli Varesine team?,MeanOfTransportation,-,What is part of a season?,-,-,MeanOfTransportation
1110,FS 197 is the same as SStB – Chiapovano to Javornik.,What is the same as SStB – Chiapovano to Javornik?,What is FS 197?,What is the name of the other two FStBs?,MeanOfTransportation,Italian Lcomotives are the same as Austrian locomotives,What locomotives are the same as Austrial lcoomotives?,What is the identical similarity relationship between two entities?,What locomotives are the same as Italian locomotives?,MeanOfTransportation
1111,FS 197 is the same as SStB – Chiapovano to Javornik.,What is the same as SStB – Chiapovano to Javornik?,What is FS 197?,What is the name of the other two FStBs?,MeanOfTransportation,A locomotive is said to be the same to a locomotive.,What is said to be the same to a locomotive?,What is the relation between locomotives?,What is said to be the same to a locomotive?,MeanOfTransportation
1112,The Great Northern Railway N-1 has a bore of 42 inches.,What railroad has a bore of 42 inches?,What is the size of the Great Northern Railway N-1?,What is the bore of the Great Northern Railway N-1?,MeanOfTransportation,The Railway / has a bore / inches long,What mean of transportation has a bore long inches?,What is the relationship between a railway and its bore long inches?,What is the measurement of the bore of the railway?,MeanOfTransportation
1113,The Great Northern Railway N-1 has a bore of 42 inches.,What railroad has a bore of 42 inches?,What is the size of the Great Northern Railway N-1?,What is the bore of the Great Northern Railway N-1?,MeanOfTransportation,A locomotive has a bore.,What has a bore?,What is the relation between a locomotive and a bore?,What is the bore of a locomotive?,MeanOfTransportation
1114,"2020 Vuelta a España, stage 13, has 151 participants.",What stage has 151 participants?,How many participants are in the 13th stage?,How many participants are in the 13th stage?,MeanOfTransportation,The Vuelta a Espana / has participants / 151,What has 151 participants?,What is the possession relationship between two entities?,How many participants does the Vuelta a Espana have?,MeanOfTransportation
1115,"2020 Vuelta a España, stage 13, has 151 participants.",What stage has 151 participants?,How many participants are in the 13th stage?,How many participants are in the 13th stage?,MeanOfTransportation,A stage has a number of participants.,What has a number of participants?,What is the relation between a stage and a number of participants?,How many participants does a stage have?,MeanOfTransportation
1116,The SJ T21 was started in 1955.,What was the name of the first T21?,What was the SJ T21's start date?,When was the SJ T21 launched?,MeanOfTransportation,The locomotive / was started in / year 1955,What mean of transportation was started ?,When is the temporal beginning relationship between an entity and a time?,When was the locomotive started?,MeanOfTransportation
1117,The SJ T21 was started in 1955.,What was the name of the first T21?,What was the SJ T21's start date?,When was the SJ T21 launched?,MeanOfTransportation,A locomotive is started in a time.,What is started in a time?,What is the relation between a locomotive and a time?,When is a locomotive started?,MeanOfTransportation
1118,DSB EG ended in 1999.,What was the name of the organization that ended in 1999?,When did DSB EG end?,When did DSB EG end?,MeanOfTransportation,Danish electric locomotives ended in 1999,What ended in 1999?,What is the finishing relationship between an entity and a time event?,When Danish electric locomotives ended?,MeanOfTransportation
1119,DSB EG ended in 1999.,What was the name of the organization that ended in 1999?,When did DSB EG end?,When did DSB EG end?,MeanOfTransportation,A locomotive ended in a time.,What ended in a time?,What is the relation between a locomotive and a time?,When did a locomotive end?,MeanOfTransportation
1120,The Queensland Railways B11 Baldwin class was established in 1880.,What class was established in 1880?,When was the Queensland Railways B11 Baldwin class established?,When was the Queensland Railways B11 Baldwin class established?,MeanOfTransportation,Australian locomotives / were established / in 1880,What was established in 1880?,What is the establishment relationship between entities and a year?,When were Australian locomotives established?,MeanOfTransportation
